X,Y,AREACD
272965,317555,W01000068
272981,108498,E01020073
273099,43965,E01020189
273157,130268,E01020131
273455,377234,W01000125
273461,198133,W01000922
273518,38850,E01020173
273547,66219,E01020198
273592,190954,W01000964
273593,44593,E01020169
273650,197949,W01000923
273663,202973,W01000956
273684,65849,E01020199
273801,64563,E01020157
273838,44064,E01020168
273876,194474,W01000897
273884,195116,W01000896
273946,203415,W01000955
274025,198306,W01000904
274034,190522,W01000963
274041,191143,W01000961
274094,68112,E01020197
274114,213424,W01000719
274198,194401,W01000895
274381,190773,W01000962
274386,200138,W01000902
274429,195159,W01000894
274431,195921,W01000937
274433,198351,W01000907
274523,212725,W01000919
274524,191535,W01000883
274546,199310,W01000903
274562,198830,W01000905
274571,320929,W01000057
274598,190319,W01000958
274600,49330,E01020142
274646,193199,W01000891
274797,189972,W01000957
274840,196047,W01000936
274986,196848,W01000934
275010,192798,W01000892
275011,300938,W01000473
275074,189411,W01000959
275098,198492,W01000906
275099,206777,W01000927
275264,196993,W01000935
275301,86099,E01020258
275316,189536,W01000960
275322,197349,W01000939
275355,191667,W01000889
275405,196600,W01000941
275480,192653,W01000890
275669,190301,W01000885
275701,198695,W01000908
275735,70012,E01020196
275789,197529,W01000938
275795,189967,W01000886
275992,124005,E01020087
276052,190298,W01000884
276065,196201,W01000942
276115,196559,W01000943
276151,70627,E01020195
276187,197747,W01000940
276420,41998,E01020174
276462,57268,E01020143
276583,208919,W01001900
276685,196379,W01000909
276704,234445,W01000679
276794,355728,W01000121
276824,371854,W01000124
276906,190166,W01000950
276941,208623,W01000973
276990,94187,E01020082
277005,189705,W01000951
277041,235088,W01000678
277043,198619,W01000969
277058,196695,W01000911
277062,196185,W01000910
277180,199845,W01000887
277204,189376,W01000952
277209,190507,W01000949
277247,309536,W01000060
277276,102602,E01020083
277307,378250,W01000129
277393,210056,W01001899
277455,377006,W01000131
277493,382138,W01000147
277688,108140,E01020070
277707,188518,W01000967
277734,192149,W01000899
277737,381459,W01000168
277744,199198,W01000970
277751,189337,W01000966
277809,377361,W01000130
277883,382454,W01000146
277893,363451,W01000185
278102,381991,W01000169
278115,192565,W01000901
278211,187905,W01000968
278339,192296,W01000900
278352,209449,W01000502
278360,380017,W01000135
278410,381152,W01000187
278423,187231,W01000932
278473,378934,W01000136
278710,61783,E01020150
278751,381740,W01000186
278834,60611,E01020182
278919,210588,W01000505
278936,381089,W01000188
279063,378577,W01000165
279204,210776,W01000504
279321,205062,W01000918
279327,74992,E01020237
279515,381902,W01000132
279534,195820,W01000945
279548,378380,W01000166
279640,42706,E01020178
279677,79939,E01020205
279685,302478,W01000442
279750,381603,W01000133
279889,362073,W01000148
279889,377926,W01000176
280128,60198,E01020184
280159,361502,W01000134
280273,60424,E01020183
280306,378077,W01000177
