WZ11CD,BNGEAST,BNGNORTH,LONGITUDE,LATITUDE
E33022041,425010,324594,-1.630344497,52.81830587
E33021649,386754,346911,-2.19890687,53.01932805
E33022256,398916,306770,-2.017461029,52.6586505
E33022257,399119,306487,-2.014464188,52.65611221
E33022254,399115,305803,-2.014510781,52.64996101
E33022255,398674,305896,-2.021037598,52.65079477
E33022252,399282,307388,-2.012054778,52.66420978
E33022253,398859,307659,-2.018300349,52.66663946
E33022048,426731,323667,-1.60488433,52.80988988
E33022250,397953,307698,-2.031706198,52.66699054
E33022049,426221,323165,-1.612481253,52.80540554
E33022251,398555,306656,-2.022801083,52.65762879
E33022426,395737,348070,-2.065014581,53.02990158
E33022427,400836,343984,-1.988987359,52.99318331
E33022424,393706,347405,-2.095277769,53.02389479
E33022425,392858,347139,-2.107915674,53.0214985
E33022422,397307,350565,-2.041628147,53.05233591
E33022423,393778,347270,-2.094208508,53.02268725
E33022258,394381,306083,-2.084497712,52.65245065
E33022420,392232,352937,-2.117395134,53.07361018
E33022259,393791,304314,-2.093188939,52.63654122
E33022421,390895,353268,-2.137364755,53.07656367
E33022636,443180,268119,-1.368071358,52.30949748
E33022637,407648,260944,-1.889405215,52.2466256
E33022634,450598,266182,-1.259571916,52.29144805
E33020876,396716,292685,-2.049841525,52.532025
E33022635,439488,271036,-1.421883725,52.3359937
E33020877,398212,292047,-2.027779588,52.52629424
E33022632,448472,271253,-1.29001376,52.33722375
E33020874,397789,292603,-2.034026908,52.53128562
E33022633,448522,271851,-1.289193687,52.3425953
E33020875,397107,291135,-2.044068874,52.51808787
E33022428,407310,342241,-1.892577738,52.97746466
E33022630,448614,272980,-1.287676238,52.35273563
E33020872,396807,291350,-2.048483338,52.52002144
E33022429,402619,344775,-1.962423792,53.00029238
E33022631,440841,272726,-1.401817666,52.35108943
E33023036,383396,254387,-2.244284052,52.1874728
E33020873,397366,292132,-2.040256272,52.52704995
E33023037,387579,254921,-2.183126075,52.19238599
E33020870,396686,292476,-2.050274764,52.53013856
E33023034,383932,254551,-2.236449789,52.18896455
E33020871,396330,291387,-2.055521133,52.52034863
E33023035,384089,254516,-2.234158665,52.18865831
E33023032,387921,254913,-2.178117375,52.19232509
E33023033,382757,254824,-2.253662253,52.19138105
E33023030,387806,255704,-2.179831826,52.19942843
E33022638,410914,271774,-1.841220197,52.34393156
E33023031,387940,255775,-2.177872976,52.2000742
E33022639,411179,270363,-1.837374773,52.33124323
E33023206,380147,270037,-2.292732467,52.3280601
E33023207,433541,283504,-1.507914733,52.4484703
E33020878,400473,291943,-1.994454008,52.52536259
E33023204,382351,271637,-2.260484508,52.34252258
E33020879,400889,291775,-1.988333965,52.5238541
E33023205,380556,270323,-2.286750446,52.33064722
E33023202,381066,271595,-2.279337803,52.34210519
E33023203,382386,272512,-2.260016653,52.35038985
E33018932,391143,343407,-2.133389774,52.98792426
E33018933,390891,343490,-2.137135445,52.98866931
E33018930,391230,343465,-2.132085366,52.98844947
E33018931,390994,343470,-2.135606229,52.98848875
E33018938,391596,343039,-2.126621251,52.98462031
E33018939,392315,342637,-2.115908901,52.98101666
E33020666,391032,290767,-2.13358426,52.51471357
E33020667,391105,291073,-2.132508585,52.51746173
E33020664,392550,291830,-2.111233568,52.52429639
E33020665,391932,292075,-2.120354413,52.52648943
E33020662,393572,291643,-2.09616799,52.52262389
E33020663,391913,291461,-2.120612983,52.52096682
E33020660,393022,292373,-2.104287433,52.52918406
E33020661,394349,291828,-2.084715819,52.52429588
E33021066,418110,276488,-1.735330529,52.38612343
E33021067,414407,276117,-1.789761861,52.38289507
E33021064,417924,276979,-1.738045485,52.39054792
E33021065,418134,276840,-1.734958881,52.38928989
E33021062,417708,276199,-1.741260816,52.38353656
E33021063,417470,275784,-1.744774094,52.37981719
E33021060,417606,277580,-1.742680763,52.3959553
E33020668,390436,291963,-2.142401895,52.52545298
E33020669,391334,291729,-2.12916103,52.52337051
E33021276,393027,299890,-2.104376374,52.59676128
E33021277,393390,300280,-2.099025099,52.6002649
E33021274,392462,299094,-2.112697606,52.58959296
E33021275,392642,299632,-2.110050944,52.59443488
E33021272,387627,300611,-2.184118225,52.60314586
E33021273,388685,299846,-2.16847538,52.59628918
E33021068,415819,275227,-1.769054375,52.37485635
E33021270,388489,299550,-2.171360766,52.5936264
E33021069,416600,276447,-1.757523021,52.38580223
E33021271,388725,300023,-2.167886819,52.59788116
E33021446,357970,234531,-2.613734261,52.00760798
E33021447,362478,244417,-2.549151916,52.09681638
E33021444,364569,240098,-2.518175049,52.05812026
E33021445,355974,238127,-2.643271839,52.03978387
E33021442,350013,238698,-2.7302602,52.04440971
E33021443,349875,238247,-2.732203875,52.04034751
E33021278,392480,299456,-2.112437515,52.59284719
E33021440,348327,238120,-2.754741436,52.03905762
E33021279,393598,299997,-2.095948175,52.59772689
E33021441,341842,237550,-2.849177727,52.03329566
E33021656,388120,345660,-2.17849816,53.00811844
E33021657,387845,345879,-2.182606955,53.01008189
E33021654,389586,345940,-2.156657522,53.01066634
E33021655,388018,345650,-2.180022088,53.00802203
E33021652,387805,346098,-2.183212562,53.01204706
E33021653,389284,347389,-2.161209019,53.02367979
E33021650,387842,346640,-2.182676367,53.01692422
E33021448,364184,236931,-2.523464265,52.02962709
E33021651,387381,346753,-2.189551707,53.0179267
E33021449,364858,233077,-2.513234927,51.99501967
E33022056,424372,321987,-1.639999838,52.79490607
E33022057,425275,324190,-1.626433378,52.81466816
E33022054,424149,321813,-1.643321282,52.79335179
E33022055,424605,322877,-1.636477475,52.80289414
E33022052,425031,323429,-1.630112918,52.80783193
E33022053,424353,322298,-1.640250101,52.79769585
E33022050,427364,323267,-1.595514981,52.80626281
E33021658,388302,345684,-2.175788839,53.00833607
E33022051,424268,323106,-1.641451062,52.80496511
E33021659,388903,346135,-2.166850021,53.01239984
E33022226,374702,336068,-2.377712242,52.92142891
E33022227,374983,336894,-2.373599905,52.92886781
E33022224,383401,345138,-2.248796483,53.00329454
E33022225,385123,343363,-2.22305232,52.98739649
E33022222,383982,344862,-2.240130911,53.00083674
